序号,审核点名称,审核要求,审核说明
ITEM-R001,项目经理高级职称要求,须提供项目经理具备高级工程师职称的证明。,预期明确证据 项目经理 高级工程师 需人工复核原始材料。
ITEM-R002,项目经理近 6 个月社保证明要求,须提供项目经理近 6 个月连续社保证明。,预期明确证据 项目经理 6个月 连续社保证明 需人工复核。
ITEM-R003,免费软件升级服务期限要求,须承诺不少于 3 年免费软件升级服务。,预期疑似证据 36个月 版本迭代 补丁更新 功能优化 需人工判断语义等价性。
ITEM-R004,原厂授权函要求,须提供原厂授权函并明确授权范围和期限。,预期证据不足 原厂技术支持 授权协助 未含正式授权函 需人工复核。
ITEM-R005,P1 故障响应时间一致性要求,P1 级故障响应时间应保持一致且不超过 30 分钟。,预期冲突证据 P1 30分钟 2小时 需人工核对两个章节。
ITEM-R006,现场服务人员名单要求,须提供 2 名长期现场服务人员名单。,预期无法判断 现场服务人员名单 附件三 缺少附件内容 需人工补充附件。
ITEM-R007,信息安全管理体系认证证书及有效期,须提供信息安全管理体系认证证书及有效期。,预期明确证据 信息安全管理体系认证证书 有效期 需人工复核证书材料。
ITEM-R008,培训次数要求,须提供不少于 3 次项目培训。,预期未找到候选证据 需人工复核全文及附件目录。
ITEM-R009,数据备份周期要求,须明确数据备份周期为每日或每周。,预期疑似证据 定期备份 数据备份周期 未明确每日或每周 需人工复核。
ITEM-R010,验收资料提交周期要求,须在 90 个自然日内提交终验资料。,预期明确证据 90个自然日 终验资料 需人工复核时间起算口径。
